Lake Level (masl),Area (Ha),Available Volume (m3)
374.81,160,5815186
374.82,161,5831245
374.83,161,5847323
374.84,161,5863420
374.85,161,5879535
374.86,161,5895670
374.87,162,5911824
374.88,162,5927997
374.89,162,5944190
374.9,162,5960403
374.91,162,5976634
374.92,163,5992885
374.93,163,6009156
374.94,163,6025445
374.95,163,6041754
374.96,163,6058083
374.97,163,6074431
374.98,164,6090797
374.99,164,6107183
375,164,6123587
375.01,164,6140011
375.02,164,6156453
375.03,165,6172916
375.04,165,6189398
375.05,165,6205900
375.06,165,6222422
375.07,165,6238965
375.08,166,6255528
375.09,166,6272111
375.1,166,6288715
375.11,166,6305337
375.12,166,6321980
375.13,167,6338642
375.14,167,6355324
375.15,167,6372026
375.16,167,6388747
375.17,167,6405488
375.18,168,6422248
375.19,168,6439027
375.2,168,6455826
375.21,168,6472643
375.22,168,6489480
375.23,169,6506335
375.24,169,6523210
375.25,169,6540103
375.26,169,6557015
375.27,169,6573946
375.28,169,6590896
375.29,170,6607865
375.3,170,6624854
375.31,170,6641863
375.32,170,6658892
375.33,170,6675942
375.34,171,6693012
375.35,171,6710104
375.36,171,6727216
375.37,171,6744348
375.38,172,6761501
375.39,172,6778674
375.4,172,6795868
375.41,172,6813082
375.42,172,6830316
375.43,173,6847571
375.44,173,6864847
375.45,173,6882144
375.46,173,6899462
375.47,173,6916801
375.48,174,6934161
375.49,174,6951540
375.5,174,6968939
375.51,174,6986357
375.52,174,7003794
375.53,175,7021250
375.54,175,7038726
375.55,175,7056221
375.56,175,7073736
375.57,175,7091271
375.58,176,7108824
375.59,176,7126397
375.6,176,7143990
375.61,176,7161602
375.62,176,7179233
375.63,177,7196883
375.64,177,7214553
375.65,177,7232242
375.66,177,7249949
375.67,177,7267676
375.68,177,7285421
375.69,178,7303186
375.7,178,7320969
375.71,178,7338771
375.72,178,7356593
375.73,178,7374435
375.74,179,7392296
375.75,179,7410177
375.76,179,7428077
375.77,179,7445997
375.78,179,7463938
375.79,180,7481897
375.8,180,7499877
375.81,180,7517877
375.82,180,7535896
375.83,180,7553936
375.84,181,7571996
375.85,181,7590077
375.86,181,7608180
375.87,181,7626304
375.88,181,7644450
375.89,182,7662617
375.9,182,7680806
375.91,182,7699017
375.92,182,7717248
375.93,183,7735501
375.94,183,7753774
375.95,183,7772068
375.96,183,7790382
375.97,183,7808716
375.98,184,7827071
375.99,184,7845446
376,184,7863841
376.01,184,7882257
376.02,184,7900692
376.03,185,7919148
376.04,185,7937624
376.05,185,7956121
376.06,185,7974638
376.07,185,7993176
376.08,186,8011735
376.09,186,8030313
376.1,186,8048912
376.11,186,8067531
376.12,186,8086171
376.13,187,8104832
376.14,187,8123513
376.15,187,8142216
376.16,187,8160940
376.17,187,8179686
376.18,188,8198455
376.19,188,8217246
376.2,188,8236058
376.21,188,8254892
376.22,189,8273747
376.23,189,8292623
376.24,189,8311521
376.25,189,8330440
376.26,189,8349381
376.27,190,8368342
376.28,190,8387324
376.29,190,8406327
376.3,190,8425351
376.31,190,8444395
376.32,191,8463460
376.33,191,8482545
376.34,191,8501651
376.35,191,8520777
376.36,191,8539924
376.37,192,8559092
376.38,192,8578280
376.39,192,8597490
376.4,192,8616720
376.41,193,8635971
376.42,193,8655244
376.43,193,8674538
376.44,193,8693853
376.45,193,8713190
376.46,194,8732548
376.47,194,8751926
376.48,194,8771326
376.49,194,8790746
376.5,194,8810187
376.51,195,8829648
376.52,195,8849131
376.53,195,8868634
376.54,195,8888158
376.55,195,8907702
376.56,196,8927267
376.57,196,8946853
376.58,196,8966459
376.59,196,8986085
376.6,196,9005732
376.61,197,9025399
376.62,197,9045086
376.63,197,9064794
376.64,197,9084523
376.65,197,9104272
376.66,198,9124043
376.67,198,9143835
376.68,198,9163647
376.69,198,9183479
376.7,199,9203332
376.71,199,9223205
376.72,199,9243098
376.73,199,9263011
376.74,199,9282945
376.75,200,9302899
376.76,200,9322873
376.77,200,9342867
376.78,200,9362882
376.79,200,9382917
376.8,201,9402972
376.81,201,9423048
376.82,201,9443143
376.83,201,9463260
376.84,201,9483399
376.85,202,9503560
376.86,202,9523743
376.87,202,9543948
376.88,202,9564174
376.89,202,9584420
376.9,203,9604687
376.91,203,9624975
376.92,203,9645282
376.93,203,9665611
376.94,204,9685962
376.95,204,9706333
376.96,204,9726726
376.97,204,9747139
376.98,204,9767573
376.99,205,9788028
377,205,9808503
377.01,205,9828998
377.02,205,9849512
377.03,205,9870047
377.04,206,9890602
377.05,206,9911179
377.06,206,9931775
377.07,206,9952393
377.08,206,9973031
377.09,207,9993689
377.1,207,10014367
377.11,207,10035066
377.12,207,10055786
377.13,207,10076526
377.14,208,10097287
377.15,208,10118069
377.16,208,10138870
377.17,208,10159690
377.18,208,10180531
377.19,209,10201391
377.2,209,10222271
377.21,209,10243169
377.22,209,10264087
377.23,209,10285023
377.24,210,10305979
377.25,210,10326955
377.26,210,10347950
377.27,210,10368965
377.28,210,10390001
377.29,211,10411056
377.3,211,10432133
377.31,211,10453230
377.32,211,10474350
377.33,211,10495490
377.34,212,10516650
377.35,212,10537829
377.36,212,10559028
377.37,212,10580246
377.38,212,10601483
377.39,213,10622740
377.4,213,10644015
377.41,213,10665310
377.42,213,10686624
377.43,213,10707958
377.44,214,10729311
377.45,214,10750683
377.46,214,10772075
377.47,214,10793487
377.48,214,10814917
377.49,215,10836368
377.5,215,10857837
377.51,215,10879326
377.52,215,10900833
377.53,215,10922360
377.54,215,10943905
377.55,216,10965469
377.56,216,10987052
377.57,216,11008654
377.58,216,11030275
377.59,216,11051915
377.6,217,11073574
377.61,217,11095251
377.62,217,11116948
377.63,217,11138665
377.64,217,11160401
377.65,218,11182157
377.66,218,11203933
377.67,218,11225730
377.68,218,11247547
377.69,218,11269385
377.7,219,11291244
377.71,219,11313122
377.72,219,11335020
377.73,219,11356938
377.74,219,11378876
377.75,220,11400835
377.76,220,11422813
377.77,220,11444812
377.78,220,11466832
377.79,220,11488874
377.8,221,11510938
377.81,221,11533024
377.82,221,11555132
377.83,221,11577261
377.84,222,11599413
377.85,222,11621585
377.86,222,11643779
377.87,222,11665994
377.88,222,11688230
377.89,223,11710487
377.9,223,11732765
377.91,223,11755064
377.92,223,11777385
377.93,223,11799728
377.94,224,11822094
377.95,224,11844481
377.96,224,11866892
377.97,224,11889325
377.98,225,11911782
377.99,225,11934261
378,225,11956764
378.01,225,11979290
378.02,225,12001840
378.03,226,12024415
378.04,226,12047017
378.05,226,12069647
378.06,227,12092302
378.07,227,12114982
378.08,227,12137687
378.09,227,12160418
378.1,228,12183174
378.11,228,12205954
378.12,228,12228759
378.13,228,12251587
378.14,229,12274440
378.15,229,12297316
378.16,229,12320216
378.17,229,12343140
378.18,229,12366088
378.19,230,12389060
378.2,230,12412057
378.21,230,12435078
378.22,230,12458126
378.23,231,12481198
378.24,231,12504294
378.25,231,12527414
378.26,231,12550559
378.27,232,12573728
378.28,232,12596922
378.29,232,12620140
378.3,232,12643381
378.31,233,12666644
378.32,233,12689931
378.33,233,12713241
378.34,233,12736574
378.35,234,12759930
378.36,234,12783309
378.37,234,12806711
378.38,234,12830136
378.39,234,12853586
378.4,235,12877059
378.41,235,12900557
378.42,235,12924078
378.43,235,12947622
378.44,236,12971189
378.45,236,12994778
378.46,236,13018389
378.47,236,13042022
378.48,237,13065677
378.49,237,13089354
378.5,237,13113053
