"Julian Day","Level1","Level2"
298,19.3969902274531,15.1431912217027
299,19.1761516965598,14.9618875794213
300,18.9548631712485,14.7723864234883
301,18.7327361398519,14.5758925585297
302,18.5093820907032,14.3736107891715
303,18.2844125121352,14.1667459200399
304,18.0574388924808,13.9565027557608
305,17.828072720073,13.7440861009604
306,17.5959254832448,13.5307007602646
307,17.360608670329,13.3175515382995
308,17.1217337696586,13.1058432396912
309,16.8789122695666,12.8967806690657
310,16.6316074283465,12.6806011679171
311,16.3799205399698,12.4488678161733
312,16.1244201462855,12.2047740261114
313,15.8656747891431,11.951513210008
314,15.6042530103917,11.6922787801403
315,15.3407233518807,11.430264148785
316,15.0756543554592,11.1686627282191
317,14.8096145629765,10.9106679307194
318,14.543172516282,10.659473168563
319,14.2768967572248,10.4182718540266
